brand,product,price,rating,reviews
Nike,Air Max,129.99,4.7,1000
Adidas,Ultraboost,159.99,4.6,900
Puma,RS-X,89.99,4.5,800
New Balance,990v5,179.99,4.8,1200
Reebok,Classic Leather,74.99,4.4,700
Vans,Old Skool,59.99,4.3,600
Nike,React Element,119.99,4.6,850
Adidas,NMD_R1,139.99,4.7,950
Puma,Suede Classic,69.99,4.4,720
New Balance,327,89.99,4.5,880
Reebok,Club C,79.99,4.6,900
Vans,Authentic,49.99,4.2,500
Nike,Jordan 1,169.99,4.8,1100
Adidas,Superstar,79.99,4.5,800
Puma,Cali,69.99,4.3,700
New Balance,574,79.99,4.4,720
Reebok,Zig Kinetica,99.99,4.6,920
Vans,Sk8-Hi,69.99,4.2,550
Nike,Blazer Mid,89.99,4.7,950
Adidas,Stan Smith,84.99,4.5,850
Puma,Future Rider,59.99,4.3,600
New Balance,997,129.99,4.8,1200
Reebok,Floatride,109.99,4.4,700
Vans,Era,54.99,4.2,500
Nike,Zoom Fly,159.99,4.7,1000
Adidas,Deerupt,89.99,4.5,800
Puma,Rider,79.99,4.3,700
New Balance,1500,179.99,4.8,1200
Reebok,Classic Nylon,64.99,4.4,720
Vans,Slip-On,49.99,4.2,550
